項目,總計(人),年齡別21歲以下(人),年齡別22-24歲(人),年齡別25-44歲(人),年齡別45-64歲(人),年齡別65歲以上(人),國籍別大陸地區及港澳(人),國籍別越南(人),國籍別印尼(人),國籍別泰國(人),國籍別菲律賓(人),國籍別日本(人),國籍別美國(人),國籍別南韓(人)
111學年總計,69,0,7,36,25,1,15,40,8,1,2,1,1,1
111學年一年級合計,24,0,1,15,8,0,2,15,3,1,2,1,0,0
111學年一年級男,1,0,0,0,1,0,0,0,0,0,0,1,0,0
111學年一年級女,23,0,1,15,7,0,2,15,3,1,2,0,0,0
111學年二年級合計,21,0,2,10,8,1,6,13,2,0,0,0,0,0
111學年二年級男,1,0,1,0,0,0,0,1,0,0,0,0,0,0
111學年二年級女,20,0,1,10,8,1,6,12,2,0,0,0,0,0
111學年三年級合計,24,0,4,11,9,0,7,12,3,0,0,0,1,1
111學年三年級男,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111學年三年級女,24,0,4,11,9,0,7,12,3,0,0,0,1,1
